0
100_per_exp_max_512bp_train
============================================================
<class 'DNABERT_v1.src.transformers.tokenization_dna.DNATokenizer'>
total num of rows: (79755, 4)
embedding size is torch.Size([508, 768])
embedding size is torch.Size([441, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([278, 768])
embedding size is torch.Size([233, 768])
embedding size is torch.Size([317, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([207, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([441, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([317, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([118, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([317, 768])
embedding size is torch.Size([507, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([493, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([487, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([321, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([481, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([407, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([294, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([423, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([279, 768])
embedding size is torch.Size([208, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([257, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([209, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([390, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([253, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([461, 768])
embedding size is torch.Size([457, 768])
embedding size is torch.Size([262, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([236, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([427, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([493, 768])
embedding size is torch.Size([413, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([258, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([477, 768])
